category,code
化学,4925
化学,4926
化学,4927
化学,4928
化学,4929
化学,4930
化学,4931
化学,4932
化学,4933
化学,4934
化学,4935
化学,4936
化学,4937
化学,4951
化学,4955
化学,4956
化学,4957
化学,4958
化学,4960
化学,4963
化学,4966
化学,4967
化学,4968
化学,4970
化学,4971
化学,4972
化学,4973
化学,4974
化学,4975
化学,4976
化学,4977
化学,4978
化学,4979
化学,4980
化学,4985
化学,4987
化学,4990
化学,4992
化学,4994
化学,4996
化学,4997
化学,4998
化学,4999
石油・石炭製品,5008
卸売業,5009
石油・石炭製品,5010
石油・石炭製品,5011
石油・石炭製品,5013
石油・石炭製品,5015
石油・石炭製品,5017
石油・石炭製品,5018
石油・石炭製品,5019
石油・石炭製品,5020
石油・石炭製品,5021
情報・通信業,5025
情報・通信業,5026
情報・通信業,5028
情報・通信業,5029
情報・通信業,5031
建設業,5070
建設業,5071
建設業,5072
建設業,5074
建設業,5075
建設業,5076
建設業,5077
建設業,5078
建設業,5079
ゴム製品,5101
ゴム製品,5103
ゴム製品,5104
ゴム製品,5105
ゴム製品,5108
ゴム製品,5110
ゴム製品,5121
ゴム製品,5122
化学,5142
ゴム製品,5161
ゴム製品,5162
ゴム製品,5184
ゴム製品,5185
ゴム製品,5186
精密機器,5187
ゴム製品,5189
ゴム製品,5191
ゴム製品,5192
ゴム製品,5194
ゴム製品,5195
ゴム製品,5199
ガラス・土石製品,5201
ガラス・土石製品,5202
ガラス・土石製品,5204
化学,5208
ガラス・土石製品,5210
ガラス・土石製品,5212
ガラス・土石製品,5214
ガラス・土石製品,5216
ガラス・土石製品,5217
ガラス・土石製品,5218
ガラス・土石製品,5232
ガラス・土石製品,5233
